	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
2-aminoethylphosphonate:pyruvate aminotransferase (EC 2.6.1.37)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	12	4	7	61	5	206	4	101	20	140	8	792	5	57	181	334	13	377	36	50	1791	461	19	3	421	4	122	4
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	8	16	10	573	7	907	16	1287	52	1668	12	5102	9	1802	1938	1194	1199	2645	265	1249	5694	2952	152	11	2175	6	479	8
2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	1	7	1	2	3	22	2	20	2	464	1	25	1	297	56	35	58	17	164	19	117	21	5	2	13	2	382	4
2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	3	175	13	4	6	51	10	855	4	1060	88	244	42	675	1025	2024	23	689	99	521	2439	1225	20	6	98	69	1182	232
2-dehydropantoate 2-reductase (EC 1.1.1.169)	74	18	22	580	11	1101	6	3336	656	1938	7	561	11	964	1046	657	649	1737	183	886	2667	1475	43	12	230	4	230	4
2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	2	1	2	7	1	72	2	338	23	343	1	265	3	96	211	254	14	776	146	235	1555	429	5	1	120	2	124	5
2-deoxyglucose-6-phosphate hydrolase YniC	2522	127	3175	1714	4305	15	1979	1557	2305	1162	37	92	6	1243	1028	968	14	783	36	936	497	191	2755	25	211	68	90	12
2-haloalkanoic acid dehalogenase (EC 3.8.1.2)	0	0	0	3	0	326	0	0	0	2	1	56	0	40	3	0	0	54	1	0	0	0	0	0	4	0	10	0
2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	208	1	4	1	4	3	21	1	63	1	1	3	1	1	1	1	2	3	1	1	3	5	1	4	4	4	5	1
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	4	2
2-isopropylmalate synthase (EC 2.3.3.13)	1	4	2	22	1	4	2	178	3	156	3	4	1	13	2	119	853	152	18	28	43	31	18	2	4	1	1	1
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	37	3	5	348	3	23	3	1042	286	177	1	124	1	109	294	95	13	190	110	157	449	397	25	4	194	1	47	1
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	4	4	7	90	3	188	3	254	52	267	3	635	4	111	334	216	356	299	27	472	1086	371	40	3	292	3	109	2
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	0	0	0	0	0	1	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	12	14	6	469	5	915	8	1301	26	839	3	3465	5	585	2105	1040	1088	1912	121	982	3630	2137	117	5	685	2	412	3
2-keto-3-deoxygluconate permease (KDG permease)	1	1	2	3	2	4	1	22	3	25	1	5	1	13	1	5	4	17	2	95	1017	23	15	3	15	2	13	1
2-ketoaldonate reductase, broad specificity (EC 1.1.1.215) (EC 1.1.1.-)	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-methylcitrate dehydratase (EC 4.2.1.79)	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0
2-methylcitrate dehydratase FeS dependent (EC 4.2.1.79)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-methylcitrate synthase (EC 2.3.3.5)	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-methylisocitrate dehydratase (EC 4.2.1.99)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2-phosphosulfolactate phosphatase (EC 3.1.3.71)	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	1	2	1	9	1	74	1	65	2	124	2	368	3	51	133	175	1	423	30	45	781	276	81	2	471	1	70	1
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	1	1	1	1	1	32	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	122	2	1	1	1	1
2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	19	50	25	1000	18	3764	23	2003	224	3419	13	8940	28	2101	3621	2007	975	5022	739	1516	8798	6124	305	15	4099	5	730	5
2,3-butanediol dehydrogenase, S-alcohol forming, (S)-acetoin-specific (EC 1.1.1.76)	0	0	0	0	3	0	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	4	11	0	0	3	5
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)	36	2305	92	9	3	870	3	29	18	2020	774	144	18	1621	186	161	2	139	3	59	336	39	173	3	5	433	1340	889
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	2	0	0	5	0	2	0	0	1	1	0	0	0	0	1	0	0	0	6	0	0	1	0	0	0	0	0	0
2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,5-diketo-D-gluconate reductase A (EC 1.1.1.274)	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
2,5-diketo-D-gluconic acid reductase B (EC 1.1.1.274)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2'-5' RNA ligase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)	879	1277	160	46	317	55	228	26	1117	68	1246	402	781	306	25	7	3	7	17	11	30	47	217	960	10	747	339	2847
21 kDa hemolysin precursor	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)	0	5	0	0	0	2	0	162	0	189	0	1168	0	6	325	673	2	619	2	222	1057	773	3	2	1091	2	154	0
23S rRNA (Uracil-5-) -methyltransferase rumB (EC 2.1.1.-)	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2H phosphoesterase superfamily protein Bsu1186 (yjcG)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-aminobutyrl-CoA ammonia lyase (EC 4.3.1.14)	1	1	1	1	1	72	1	1	1	2	1	7	1	3	1	1	1	1	1	1	3	1	9	1	1	1	1	1
3-dehydro-L-gulonate 2-dehydrogenase (EC 1.1.1.130)	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3-dehydroquinate dehydratase I (EC 4.2.1.10)	1704	19	527	665	883	35	568	376	702	298	13	14	4	305	244	169	178	406	142	511	203	81	761	190	48	34	99	15
3-dehydroquinate dehydratase II (EC 4.2.1.10)	33	12	29	378	16	185	9	645	221	504	13	2137	16	105	602	620	19	1051	64	301	1785	1022	33	11	360	5	96	5
3-dehydroquinate synthase (EC 4.2.3.4)	5	6	5	94	4	251	4	230	82	544	3	880	2	249	553	386	606	378	104	425	1084	374	37	2	335	3	175	3
3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64)	1	4	1	95	1	79	2	4	6	61	3	46	2	65	128	11	155	6	2	70	146	16	7	1	2	1	13	1
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45)	16	18	15	730	7	1461	12	1450	42	1182	6	969	8	1875	2295	470	1651	1067	93	1159	1663	1032	174	15	391	5	404	5
3-deoxy-D-manno-octulosonic-acid transferase (EC 2.-.-.-)	4	5	5	230	2	474	5	584	21	619	3	1547	4	314	722	838	479	1568	84	476	2924	1228	107	6	2003	2	325	4
3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	3	4	6	213	4	430	4	540	19	318	2	1218	6	939	557	405	506	1061	57	410	1567	859	102	3	651	4	300	3
3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0	1	0	9	0	7	1	352	5	124	3	138	0	1	1	201	711	295	0	301	1	45	2	6	3	0	1	0
3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	15	683	28	3108	18	2284	16	2651	246	1704	182	2592	290	4472	5089	4210	9179	2096	13	8402	3779	2078	27	7	355	170	992	3
3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	131	173	69	2467	311	3499	44	2605	332	1127	55	2842	44	3570	9733	7109	14171	2715	74	12687	4832	2041	109	65	391	26	985	18
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)	1	2	1	1	1	6	1	3	11	13	1	11	5	11	4	4	4	5	1	2	7	2	1	1	1	1	3	1
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	1	1	1	15	2	3	1	105	1	140	1	3	1	10	1	79	490	52	5	15	24	23	23	2	3	1	1	1
3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	1	1	1	27	1	5	2	161	2	401	2	6	1	24	1	238	714	150	3	31	45	45	19	1	7	1	1	1
3-isopropylmalate dehydrogenase (EC 1.1.1.85)	1	1	1	11	1	19	3	191	2	486	1	8	1	18	1	280	539	160	2	35	51	47	24	1	6	1	2	1
3-keto-5-aminohexanoate cleavage enzyme	0	4	1	0	0	152	0	2	0	0	0	15	0	1	0	0	0	0	0	1	1	0	0	0	10	0	0	0
3-keto-L-gulonate 6-phosphate decarboxylase	21	12139	4145	138	17	412	12	81	26	1288	6332	3926	1692	1464	13	9	18	14	32	11	19	8	5558	9	16	18653	6500	30904
3-keto-L-gulonate 6-phosphate decarboxylase homolog	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-ketoacyl-CoA thiolase (EC 2.3.1.16)	110	13	19	3081	9	742	12	1767	772	941	5	1887	7	1861	1853	2770	6366	1175	15	7532	2839	2198	43	8	487	2	1258	2
3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	5	10	4	642	2	269	4	1377	15	562	5	1405	4	450	476	810	3491	1626	60	1702	3222	1426	13	3	1094	4	242	1
3-methylmercaptopropionyl-CoA dehydrogenase (DmdC)	16	36	19	160	23	714	21	592	28	585	13	4840	20	171	1431	2884	16	4395	295	522	4622	2554	53	14	2109	1	375	2
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	52	6807	5450	9169	5810	4616	3270	6044	235	11940	3607	17049	2187	6045	9466	20826	2906	33072	585	9379	30700	13381	6241	52	8827	1991	3129	3719
3-oxoacyl-[acyl-carrier protein] reductase paralog (EC 1.1.1.100) in cluster with unspecified monosaccharide transporter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	7	7
3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	4	2	0	3	1	409	2	102	2	277	1	746	3	200	484	875	3	1697	3	127	2786	1649	4	2	1675	1	189	1
3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	27	54	54	1281	28	7928	33	3737	140	5739	18	11178	29	2177	5440	6192	3009	10720	447	2847	17538	8759	456	20	15023	14	3002	14
3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	18	115	55	1452	18	9134	21	1693	430	2620	14	10838	20	7049	2770	2229	1047	4298	1433	1521	10507	4484	1070	14	7193	19	1749	17
3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-)	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-polyprenyl-4-hydroxybenzoate carboxy-lyase UbiX (EC 4.1.1.-)	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3,4-dihydroxy-2-butanone 4-phosphate synthase	5	4	3	17	5	185	4	2	0	4	3	7	3	1118	1	4	3	3	3	4	779	7	3	0	7	1	1	1
3,5-diaminobexanoate dehydrogenase (EC 1.4.1.11)	0	4	1	1	0	128	0	2	0	5	0	49	0	3	6	3	0	3	0	0	11	1	2	0	0	0	0	0
3'-phosphoadenosine 5'-phosphosulfate sulfurtransferase DndC	0	1	1	0	0	63	1	0	0	0	1	0	0	13	1	0	0	1	0	0	0	0	10	0	0	0	0	0
3'-to-5' exoribonuclease RNase R	5602	3854	424	929	2009	1056	569	1287	2399	1629	2924	2069	1985	940	1357	808	1040	2060	153	1372	3407	1746	454	1493	644	1897	930	3224
3'-to-5' oligoribonuclease (orn)	189	10	38	3515	6	84	6	1639	3562	832	2	1216	9	680	1900	165	9	1078	9	1872	5692	3501	169	18	224	1	126	1
3'-to-5' oligoribonuclease B, Bacillus type	0	0	0	0	1	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1
3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)	1	0	0	0	0	45	0	0	0	11	0	23	0	33	11	6	0	39	0	0	3	1	5	0	0	0	5	0
3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	285	48	69	3425	23	4856	28	8535	2177	5909	17	11788	23	4573	7851	4389	103	6562	859	5288	20816	11829	367	27	2699	7	2381	8
4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17)	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	0
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	23	8	14	753	11	706	7	1539	28	910	14	670	5	547	575	590	1540	1595	99	1195	1634	1014	18	14	258	8	276	7
4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)	5	8	4	64	9	434	4	106	41	270	5	627	3	117	290	180	12	420	128	77	824	449	30	3	517	2	82	2
4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.-)	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-hydroxybenzoate transporter	35	2	10	607	3	11	2	218	281	92	2	106	1	29	360	31	2	102	23	163	359	327	21	2	216	1	15	1
4-hydroxybenzoyl-CoA thioesterase family active site	5	11	14	595	7	1762	5	1361	84	1169	12	4555	10	655	2027	3155	1662	4808	55	1138	4993	3312	83	6	2418	7	576	5
4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	2	6	2	20	2	358	3	45	10	107	1	598	2	72	124	158	4	331	24	45	686	231	13	3	364	3	85	1
4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase	4	8	8	49	2	498	4	149	5	215	5	2320	6	582	405	409	5	965	89	195	1309	545	16	5	1009	2	161	2
4-oxalocrotonate tautomerase (EC 5.3.2.-)	1	6	1	1	1	1	1	5	9	5	1	2	2	2	2	2	1	10	1	2	2	2	963	476	2	2	12	44
4'-phosphopantetheinyl transferase (EC 2.7.8.-)	1	1	1	9	1	4	1	4	39	48	1	486	2	1	14	1	1	1	21	3	2	3	2	1	1	1	1	1
4'-phosphopantetheinyl transferase (EC 2.7.8.-) [enterobactin] siderophore	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
5-carboxymethyl-2-hydroxymuconate delta-isomerase (EC 5.3.3.10)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
5-deoxy-glucuronate isomerase (EC 5.3.1.-)	1	1	1	1	1	7	1	1	1	7	0	2	1	2	2	1	1	2	0	1	2	4	1	1	6	1	2	1
5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	40	11	8	564	5	232	6	368	527	531	6	5213	2	274	975	485	205	936	121	559	2104	1287	49	7	802	3	248	5
5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	1185	1808	2133	3497	3537	670	1254	2901	1314	2349	935	465	535	1179	991	1593	2231	2153	57	2918	2426	1083	1686	1839	1357	1694	1000	2105
5-keto-2-deoxy-D-gluconate-6 phosphate aldolase (EC 4.1.2.29)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
5-keto-2-deoxy-D-gluconate-6 phosphate aldolase [form 2] (EC 4.1.2.29)	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
5-keto-2-deoxygluconokinase (EC 2.7.1.92)	0	0	0	0	0	1	0	0	0	1	0	0	0	5	13	1	1	0	0	1	2	1	0	0	0	0	0	0
5-methyl-dCTP pyrophosphohydrolase (EC 3.6.1.-)	7	1	1	2	1	1	1	11	44	3	1	1	1	11	3	1	1	11	1	10	4	163	1	660	19	1	10	16
5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	1	2	1	0	0	75	0	0	0	2	1	1	1	15	128	0	0	1	1	2	1	0	52	0	0	1	69	0
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	293	661	84	145	50	228	34	766	820	472	6	99	287	276	250	403	1032	1162	20	249	1987	501	102	22	142	213	174	411
5-methylthioribose kinase (EC 2.7.1.100)	0	1	1	1	1	0	1	1	0	1	0	1	169	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1
5-nucleotidase SurE (EC 3.1.3.5)	6	10	11	560	5	752	8	870	16	675	3	778	3	454	544	405	1493	970	64	828	1963	672	41	4	520	4	326	3
5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	28	2	5	130	3	102	3	421	811	143	2	69	4	82	399	194	70	917	11	135	998	278	49	3	93	4	192	3
5'-nucleotidase (EC 3.1.3.5)	738	51	34	340	184	2712	134	861	501	2734	14	11637	16	1552	3208	2523	11	5759	571	982	11600	4882	103	29	2778	12	637	14
5'-nucleotidase family protein in cluster with NagD-like phosphatase	1358	2579	169	45	1218	13	127	9	927	6	1351	21	1098	26	4	5	2	3	26	7	4	2	217	1254	11	1273	174	1461
5'-nucleotidase YjjG (EC 3.1.3.5)	1	1	1	1	4	6	1	3	3	64	6	6	1	3	17	1	2	7	1	2	32	13	3	7	5	6	11	8
50S ribosomal subunit maturation GTPase RbgA (B. subtilis YlqF)	2121	2417	3233	5675	3232	1092	2382	5710	1337	2814	1276	275	951	3068	2165	4727	1356	3133	82	5691	2316	822	4285	690	536	876	1192	795
6-phospho-3-hexuloisomerase	1	664	1	1	2	5	1	13	557	4	148	15	48	4	215	1	1	9	2	114	2	5	16	1	1	128	7	1
6-phospho-beta-galactosidase (EC 3.2.1.85)	1177	35	35	1242	1394	43	76	1015	518	138	9	109	5	172	1061	2250	5	698	3	28	5	8	1082	869	501	131	12745	149
6-phospho-beta-glucosidase (EC 3.2.1.86)	9574	1854	182	135	1674	14	857	27	2880	22	2208	10	475	16	12	13	5	25	44	8	7	8	380	309	7	1237	122	1510
6-phosphofructokinase (EC 2.7.1.11)	35406	93374	52478	40826	70123	10438	38730	26916	55818	31052	41155	29755	31295	49528	18858	24593	1067	30179	2772	57199	38839	11165	65298	21071	20884	33456	30578	47644
6-phosphofructokinase class II (EC 2.7.1.11)	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
6-phosphofructokinase, eukaryotic type (EC 2.7.1.11)	0	0	0	0	0	4	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	2717	7295	7889	5267	7774	583	4517	5127	2846	3519	2790	454	2298	4442	2834	3207	1062	4257	65	6605	2688	833	9762	1732	1027	3890	3143	6484
6-phosphogluconolactonase (EC 3.1.1.31)	1768	1709	2327	1778	3356	557	1260	1231	1386	967	823	169	663	1105	793	615	8	996	35	900	667	103	1565	2416	357	2815	1196	5283
6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type	30	3	5	389	4	45	2	406	203	266	2	209	3	112	452	57	4	653	6	239	1005	591	108	2	156	2	21	2
